Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2010-11,2010-08-14T00:00:00Z,Aston Villa,West Ham,3,0,H,2,0,H
2010-11,2010-08-14T00:00:00Z,Blackburn,Everton,1,0,H,1,0,H
2010-11,2010-08-14T00:00:00Z,Bolton,Fulham,0,0,D,0,0,D
2010-11,2010-08-14T00:00:00Z,Chelsea,West Brom,6,0,H,2,0,H
2010-11,2010-08-14T00:00:00Z,Sunderland,Birmingham,2,2,D,1,0,H
2010-11,2010-08-14T00:00:00Z,Tottenham,Man City,0,0,D,0,0,D
2010-11,2010-08-14T00:00:00Z,Wigan,Blackpool,0,4,A,0,3,A
2010-11,2010-08-14T00:00:00Z,Wolves,Stoke,2,1,H,2,0,H
2010-11,2010-08-15T00:00:00Z,Liverpool,Arsenal,1,1,D,0,0,D
2010-11,2010-08-16T00:00:00Z,Man United,Newcastle,3,0,H,2,0,H
2010-11,2010-08-21T00:00:00Z,Arsenal,Blackpool,6,0,H,3,0,H
2010-11,2010-08-21T00:00:00Z,Birmingham,Blackburn,2,1,H,0,0,D
2010-11,2010-08-21T00:00:00Z,Everton,Wolves,1,1,D,1,0,H
2010-11,2010-08-21T00:00:00Z,Stoke,Tottenham,1,2,A,1,2,A
2010-11,2010-08-21T00:00:00Z,West Brom,Sunderland,1,0,H,0,0,D
2010-11,2010-08-21T00:00:00Z,West Ham,Bolton,1,3,A,0,0,D
2010-11,2010-08-21T00:00:00Z,Wigan,Chelsea,0,6,A,0,1,A
2010-11,2010-08-22T00:00:00Z,Fulham,Man United,2,2,D,0,1,A
2010-11,2010-08-22T00:00:00Z,Newcastle,Aston Villa,6,0,H,3,0,H
2010-11,2010-08-23T00:00:00Z,Man City,Liverpool,3,0,H,1,0,H
2010-11,2010-08-28T00:00:00Z,Blackburn,Arsenal,1,2,A,1,1,D
2010-11,2010-08-28T00:00:00Z,Blackpool,Fulham,2,2,D,0,1,A
2010-11,2010-08-28T00:00:00Z,Chelsea,Stoke,2,0,H,1,0,H
2010-11,2010-08-28T00:00:00Z,Man United,West Ham,3,0,H,1,0,H
2010-11,2010-08-28T00:00:00Z,Tottenham,Wigan,0,1,A,0,0,D
2010-11,2010-08-28T00:00:00Z,Wolves,Newcastle,1,1,D,1,0,H
2010-11,2010-08-29T00:00:00Z,Aston Villa,Everton,1,0,H,1,0,H
2010-11,2010-08-29T00:00:00Z,Bolton,Birmingham,2,2,D,0,1,A
2010-11,2010-08-29T00:00:00Z,Liverpool,West Brom,1,0,H,0,0,D
2010-11,2010-08-29T00:00:00Z,Sunderland,Man City,1,0,H,0,0,D
2010-11,2010-09-11T00:00:00Z,Arsenal,Bolton,4,1,H,1,1,D
2010-11,2010-09-11T00:00:00Z,Everton,Man United,3,3,D,1,1,D
2010-11,2010-09-11T00:00:00Z,Fulham,Wolves,2,1,H,0,1,A
2010-11,2010-09-11T00:00:00Z,Man City,Blackburn,1,1,D,0,1,A
2010-11,2010-09-11T00:00:00Z,Newcastle,Blackpool,0,2,A,0,1,A
2010-11,2010-09-11T00:00:00Z,West Brom,Tottenham,1,1,D,1,1,D
2010-11,2010-09-11T00:00:00Z,West Ham,Chelsea,1,3,A,0,2,A
2010-11,2010-09-11T00:00:00Z,Wigan,Sunderland,1,1,D,0,0,D
2010-11,2010-09-12T00:00:00Z,Birmingham,Liverpool,0,0,D,0,0,D
2010-11,2010-09-13T00:00:00Z,Stoke,Aston Villa,2,1,H,0,1,A
2010-11,2010-09-18T00:00:00Z,Aston Villa,Bolton,1,1,D,1,1,D
2010-11,2010-09-18T00:00:00Z,Blackburn,Fulham,1,1,D,1,0,H
2010-11,2010-09-18T00:00:00Z,Everton,Newcastle,0,1,A,0,1,A
2010-11,2010-09-18T00:00:00Z,Stoke,West Ham,1,1,D,0,1,A
2010-11,2010-09-18T00:00:00Z,Sunderland,Arsenal,1,1,D,0,1,A
2010-11,2010-09-18T00:00:00Z,Tottenham,Wolves,3,1,H,0,1,A
2010-11,2010-09-18T00:00:00Z,West Brom,Birmingham,3,1,H,0,1,A
2010-11,2010-09-19T00:00:00Z,Chelsea,Blackpool,4,0,H,4,0,H
2010-11,2010-09-19T00:00:00Z,Man United,Liverpool,3,2,H,1,0,H
2010-11,2010-09-19T00:00:00Z,Wigan,Man City,0,2,A,0,1,A
2010-11,2010-09-25T00:00:00Z,Arsenal,West Brom,2,3,A,0,0,D
2010-11,2010-09-25T00:00:00Z,Birmingham,Wigan,0,0,D,0,0,D
2010-11,2010-09-25T00:00:00Z,Blackpool,Blackburn,1,2,A,0,1,A
2010-11,2010-09-25T00:00:00Z,Fulham,Everton,0,0,D,0,0,D
2010-11,2010-09-25T00:00:00Z,Liverpool,Sunderland,2,2,D,1,1,D
2010-11,2010-09-25T00:00:00Z,Man City,Chelsea,1,0,H,0,0,D
2010-11,2010-09-25T00:00:00Z,West Ham,Tottenham,1,0,H,1,0,H
2010-11,2010-09-26T00:00:00Z,Bolton,Man United,2,2,D,1,1,D
2010-11,2010-09-26T00:00:00Z,Newcastle,Stoke,1,2,A,1,0,H
2010-11,2010-09-26T00:00:00Z,Wolves,Aston Villa,1,2,A,0,1,A
2010-11,2010-10-02T00:00:00Z,Birmingham,Everton,0,2,A,0,0,D
2010-11,2010-10-02T00:00:00Z,Stoke,Blackburn,1,0,H,0,0,D
2010-11,2010-10-02T00:00:00Z,Sunderland,Man United,0,0,D,0,0,D
2010-11,2010-10-02T00:00:00Z,Tottenham,Aston Villa,2,1,H,1,1,D
2010-11,2010-10-02T00:00:00Z,West Brom,Bolton,1,1,D,0,0,D
2010-11,2010-10-02T00:00:00Z,West Ham,Fulham,1,1,D,0,1,A
2010-11,2010-10-02T00:00:00Z,Wigan,Wolves,2,0,H,0,0,D
2010-11,2010-10-03T00:00:00Z,Chelsea,Arsenal,2,0,H,1,0,H
2010-11,2010-10-03T00:00:00Z,Liverpool,Blackpool,1,2,A,0,2,A
2010-11,2010-10-03T00:00:00Z,Man City,Newcastle,2,1,H,1,1,D
2010-11,2010-10-16T00:00:00Z,Arsenal,Birmingham,2,1,H,1,1,D
2010-11,2010-10-16T00:00:00Z,Aston Villa,Chelsea,0,0,D,0,0,D
2010-11,2010-10-16T00:00:00Z,Bolton,Stoke,2,1,H,1,0,H
2010-11,2010-10-16T00:00:00Z,Fulham,Tottenham,1,2,A,1,1,D
2010-11,2010-10-16T00:00:00Z,Man United,West Brom,2,2,D,2,0,H
2010-11,2010-10-16T00:00:00Z,Newcastle,Wigan,2,2,D,0,2,A
2010-11,2010-10-16T00:00:00Z,Wolves,West Ham,1,1,D,1,0,H
2010-11,2010-10-17T00:00:00Z,Blackpool,Man City,2,3,A,0,0,D
2010-11,2010-10-17T00:00:00Z,Everton,Liverpool,2,0,H,1,0,H
2010-11,2010-10-18T00:00:00Z,Blackburn,Sunderland,0,0,D,0,0,D
2010-11,2010-10-23T00:00:00Z,Birmingham,Blackpool,2,0,H,1,0,H
2010-11,2010-10-23T00:00:00Z,Chelsea,Wolves,2,0,H,1,0,H
2010-11,2010-10-23T00:00:00Z,Sunderland,Aston Villa,1,0,H,1,0,H
2010-11,2010-10-23T00:00:00Z,Tottenham,Everton,1,1,D,1,1,D
2010-11,2010-10-23T00:00:00Z,West Brom,Fulham,2,1,H,2,1,H
2010-11,2010-10-23T00:00:00Z,West Ham,Newcastle,1,2,A,1,1,D
2010-11,2010-10-23T00:00:00Z,Wigan,Bolton,1,1,D,0,0,D
2010-11,2010-10-24T00:00:00Z,Liverpool,Blackburn,2,1,H,0,0,D
2010-11,2010-10-24T00:00:00Z,Man City,Arsenal,0,3,A,0,1,A
2010-11,2010-10-24T00:00:00Z,Stoke,Man United,1,2,A,0,1,A
2010-11,2010-10-30T00:00:00Z,Arsenal,West Ham,1,0,H,0,0,D
2010-11,2010-10-30T00:00:00Z,Blackburn,Chelsea,1,2,A,1,1,D
2010-11,2010-10-30T00:00:00Z,Everton,Stoke,1,0,H,0,0,D
2010-11,2010-10-30T00:00:00Z,Fulham,Wigan,2,0,H,2,0,H
2010-11,2010-10-30T00:00:00Z,Man United,Tottenham,2,0,H,1,0,H
2010-11,2010-10-30T00:00:00Z,Wolves,Man City,2,1,H,1,1,D
2010-11,2010-10-31T00:00:00Z,Aston Villa,Birmingham,0,0,D,0,0,D
2010-11,2010-10-31T00:00:00Z,Bolton,Liverpool,0,1,A,0,0,D
2010-11,2010-10-31T00:00:00Z,Newcastle,Sunderland,5,1,H,3,0,H
2010-11,2010-11-01T00:00:00Z,Blackpool,West Brom,2,1,H,1,0,H
2010-11,2010-11-06T00:00:00Z,Birmingham,West Ham,2,2,D,0,0,D
2010-11,2010-11-06T00:00:00Z,Blackburn,Wigan,2,1,H,0,0,D
2010-11,2010-11-06T00:00:00Z,Blackpool,Everton,2,2,D,1,1,D
2010-11,2010-11-06T00:00:00Z,Bolton,Tottenham,4,2,H,1,0,H
2010-11,2010-11-06T00:00:00Z,Fulham,Aston Villa,1,1,D,0,1,A
2010-11,2010-11-06T00:00:00Z,Man United,Wolves,2,1,H,1,0,H
2010-11,2010-11-06T00:00:00Z,Sunderland,Stoke,2,0,H,1,0,H
2010-11,2010-11-07T00:00:00Z,Arsenal,Newcastle,0,1,A,0,1,A
2010-11,2010-11-07T00:00:00Z,Liverpool,Chelsea,2,0,H,2,0,H
2010-11,2010-11-07T00:00:00Z,West Brom,Man City,0,2,A,0,2,A
2010-11,2010-11-09T00:00:00Z,Stoke,Birmingham,3,2,H,1,0,H
2010-11,2010-11-09T00:00:00Z,Tottenham,Sunderland,1,1,D,0,0,D
2010-11,2010-11-10T00:00:00Z,Aston Villa,Blackpool,3,2,H,1,1,D
2010-11,2010-11-10T00:00:00Z,Chelsea,Fulham,1,0,H,1,0,H
2010-11,2010-11-10T00:00:00Z,Everton,Bolton,1,1,D,0,0,D
2010-11,2010-11-10T00:00:00Z,Man City,Man United,0,0,D,0,0,D
2010-11,2010-11-10T00:00:00Z,Newcastle,Blackburn,1,2,A,0,1,A
2010-11,2010-11-10T00:00:00Z,West Ham,West Brom,2,2,D,1,1,D
2010-11,2010-11-10T00:00:00Z,Wigan,Liverpool,1,1,D,0,1,A
2010-11,2010-11-10T00:00:00Z,Wolves,Arsenal,0,2,A,0,1,A
2010-11,2010-11-13T00:00:00Z,Aston Villa,Man United,2,2,D,0,0,D
2010-11,2010-11-13T00:00:00Z,Man City,Birmingham,0,0,D,0,0,D
2010-11,2010-11-13T00:00:00Z,Newcastle,Fulham,0,0,D,0,0,D
2010-11,2010-11-13T00:00:00Z,Stoke,Liverpool,2,0,H,0,0,D
2010-11,2010-11-13T00:00:00Z,Tottenham,Blackburn,4,2,H,2,0,H
2010-11,2010-11-13T00:00:00Z,West Ham,Blackpool,0,0,D,0,0,D
2010-11,2010-11-13T00:00:00Z,Wigan,West Brom,1,0,H,0,0,D
2010-11,2010-11-13T00:00:00Z,Wolves,Bolton,2,3,A,0,1,A
2010-11,2010-11-14T00:00:00Z,Chelsea,Sunderland,0,3,A,0,1,A
2010-11,2010-11-14T00:00:00Z,Everton,Arsenal,1,2,A,0,1,A
2010-11,2010-11-20T00:00:00Z,Arsenal,Tottenham,2,3,A,2,0,H
2010-11,2010-11-20T00:00:00Z,Birmingham,Chelsea,1,0,H,1,0,H
2010-11,2010-11-20T00:00:00Z,Blackpool,Wolves,2,1,H,2,0,H
2010-11,2010-11-20T00:00:00Z,Bolton,Newcastle,5,1,H,2,0,H
2010-11,2010-11-20T00:00:00Z,Liverpool,West Ham,3,0,H,3,0,H
2010-11,2010-11-20T00:00:00Z,Man United,Wigan,2,0,H,1,0,H
2010-11,2010-11-20T00:00:00Z,West Brom,Stoke,0,3,A,0,0,D
2010-11,2010-11-21T00:00:00Z,Blackburn,Aston Villa,2,0,H,1,0,H
2010-11,2010-11-21T00:00:00Z,Fulham,Man City,1,4,A,0,3,A
2010-11,2010-11-22T00:00:00Z,Sunderland,Everton,2,2,D,1,1,D
2010-11,2010-11-27T00:00:00Z,Aston Villa,Arsenal,2,4,A,0,2,A
2010-11,2010-11-27T00:00:00Z,Bolton,Blackpool,2,2,D,0,1,A
2010-11,2010-11-27T00:00:00Z,Everton,West Brom,1,4,A,1,2,A
2010-11,2010-11-27T00:00:00Z,Fulham,Birmingham,1,1,D,0,1,A
2010-11,2010-11-27T00:00:00Z,Man United,Blackburn,7,1,H,3,0,H
2010-11,2010-11-27T00:00:00Z,Stoke,Man City,1,1,D,0,0,D
2010-11,2010-11-27T00:00:00Z,West Ham,Wigan,3,1,H,1,0,H
2010-11,2010-11-27T00:00:00Z,Wolves,Sunderland,3,2,H,0,0,D
2010-11,2010-11-28T00:00:00Z,Newcastle,Chelsea,1,1,D,1,1,D
2010-11,2010-11-28T00:00:00Z,Tottenham,Liverpool,2,1,H,0,1,A
2010-11,2010-12-04T00:00:00Z,Arsenal,Fulham,2,1,H,1,1,D
2010-11,2010-12-04T00:00:00Z,Birmingham,Tottenham,1,1,D,0,1,A
2010-11,2010-12-04T00:00:00Z,Blackburn,Wolves,3,0,H,2,0,H
2010-11,2010-12-04T00:00:00Z,Chelsea,Everton,1,1,D,1,0,H
2010-11,2010-12-04T00:00:00Z,Man City,Bolton,1,0,H,1,0,H
2010-11,2010-12-04T00:00:00Z,Wigan,Stoke,2,2,D,2,2,D
2010-11,2010-12-05T00:00:00Z,Sunderland,West Ham,1,0,H,1,0,H
2010-11,2010-12-05T00:00:00Z,West Brom,Newcastle,3,1,H,1,0,H
2010-11,2010-12-06T00:00:00Z,Liverpool,Aston Villa,3,0,H,2,0,H
2010-11,2010-12-11T00:00:00Z,Aston Villa,West Brom,2,1,H,1,0,H
2010-11,2010-12-11T00:00:00Z,Everton,Wigan,0,0,D,0,0,D
2010-11,2010-12-11T00:00:00Z,Fulham,Sunderland,0,0,D,0,0,D
2010-11,2010-12-11T00:00:00Z,Newcastle,Liverpool,3,1,H,1,0,H
2010-11,2010-12-11T00:00:00Z,Stoke,Blackpool,0,1,A,0,0,D
2010-11,2010-12-11T00:00:00Z,West Ham,Man City,1,3,A,0,1,A
2010-11,2010-12-12T00:00:00Z,Bolton,Blackburn,2,1,H,0,0,D
2010-11,2010-12-12T00:00:00Z,Tottenham,Chelsea,1,1,D,1,0,H
2010-11,2010-12-12T00:00:00Z,Wolves,Birmingham,1,0,H,1,0,H
2010-11,2010-12-13T00:00:00Z,Man United,Arsenal,1,0,H,1,0,H
2010-11,2010-12-18T00:00:00Z,Blackburn,West Ham,1,1,D,0,0,D
2010-11,2010-12-18T00:00:00Z,Sunderland,Bolton,1,0,H,1,0,H
2010-11,2010-12-20T00:00:00Z,Man City,Everton,1,2,A,0,2,A
2010-11,2010-12-26T00:00:00Z,Aston Villa,Tottenham,1,2,A,0,1,A
